actor1,actor2,relation
Nyatura Delta,NDC-Renove,6
Nyatura Noheri,FDDH,5
Nyatura Noheri,APRDC CMC,5
PARECO,Nyatura Noheri,5
RCD K ML,URDC,5
URDC,FARDC,5
FAC,FARDC,5
FAZ,FARDC,5
CNDP,FARDC,5
CNDP,M23,5
RCD,CNDP,5
